2_use_case_name,summary_text
AI-assisted comment triaging tool,"The AI-assisted comment triaging tool streamlines the review process of public comments submitted for the annual Physician Fee Schedule rulemaking. By leveraging AI technology, the tool aids the PFS team in efficiently sorting and categorizing comments, including the identification of form letters, thereby reducing their workload."
Bankruptcy BOT,"The Bankruptcy BOT is a proactive system designed to identify bankruptcy cases that affect Medicare's debt recoupment efforts. It ensures timely identification of filed provider bankruptcies, enabling Medicare to secure recovery rights before the deadlines for filing claims expire. This initiative enhances the oversight capabilities of the Bankruptcy/Overpayment Division of IFM."
Central Data Abstraction Tool-Modernized (Modernized-CDAT)- Intake Process Automation (PA) Tool,"The Central Data Abstraction Tool-Modernized (Modernized-CDAT) Intake Process Automation (PA) Tool automates and modernizes the medical record review functions in the MA RADV audit process using advanced technologies like NLP, OCR, AI, and ML. This tool eliminates the manual review of medical record submissions, expedites the intake process, and generates cost savings in both time and resources by replacing manual functions for steps 2 and 3 of the RADV audit process. The PA-BOT ensures that the MAO Medical Record submissions meet RADV audit intake requirements before moving on to MR abstraction and coding."
CMS Enterprise Portal Services (CMS Enterprise Portal-Chatbot),"The CMS Enterprise Portal Services project leverages an AI-powered chatbot to enhance process efficiency and knowledge management for users. By automating customer support and troubleshooting, it reduces the burden on help desks while providing valuable insights into user inquiries. The chatbot utilizes machine learning technology to accurately respond to user questions and streamline task processing."
Enhanced Direct Enrollment Outlier Detection,"The Enhanced Direct Enrollment Outlier Detection project aims to ensure the integrity of the Enhanced Direct Enrollment program by using machine learning to identify anomalies and quality issues in data submitted by partners. As partners gain more control over their application processes, this initiative focuses on maintaining a reliable interface between these partners and the FFE APIs. Overall, the project enhances data quality and safeguards the enrollment process."
Exchange Complaints Review Categorization  ML/AI ,"The Exchange Complaints Review Contractor (ECRC) employs machine learning and artificial intelligence to automate the categorization of consumer complaints received from the Federally-facilitated Exchange call center. By training the AI model on thousands of complaints, the process reduces the categorization time from approximately ten minutes per complaint to mere minutes, enabling faster routing to the appropriate CMS caseworker or Issuer for resolution. This innovation enhances efficiency in addressing consumer issues related to medical treatment access."
Feedback Analysis Solution (FAS),"The Feedback Analysis Solution (FAS) is a system that leverages Natural Language Processing (NLP) and machine learning (ML) tools to analyze public comments and stakeholder feedback from various sources, including CMS and Regulations.Gov. By aggregating and sorting data, FAS creates efficiencies in the review process while identifying key topics, themes, and sentiments that influence program and policy decisions. Different groups within CCSQ utilize FAS to process unstructured data, ensuring effective interpretation and structuring for further analysis."
IT System Utilization Optimization,"The IT System Utilization Optimization project aims to improve the FFE application's performance by automating resource scaling through Machine Learning. This will enable the system to adapt to varying usage patterns more efficiently, eliminating the need for manual scaling and ensuring immediate responsiveness to changes in system volume."
Knowledge Management Platform,"The Knowledge Management Platform enhances data-driven decision-making by efficiently accessing and utilizing both structured and unstructured data sources. It employs advanced technologies like natural language processing and knowledge graphs to simplify knowledge accessibility, ultimately supporting CMS's mission and improving return on investment."
Risk Adjustment Outlier Analysis,"The Risk Adjustment Outlier Analysis project aims to maintain the integrity of the Risk Adjustment (RA) program by utilizing Machine Learning to identify outliers in issuer data and behavior that could adversely affect risk adjustment payments. The project focuses on managing financial risk for issuers by ensuring that RA payments are accurately calculated based on population risk levels. By monitoring and analyzing data patterns, this initiative seeks to prevent undue influence on annual calculations."
Agent/Broker Fraud Analysis,"The Agent/Broker Fraud Analysis project aims to enhance the oversight and integrity of Marketplace applications and enrollments facilitated by Agents and Brokers by leveraging machine learning to detect suspicious behaviors. This initiative assists CCIIO in identifying potential fraud, allowing for referrals to the Consumer Protection Initiative (CPI). Ultimately, the project seeks to safeguard the consumer enrollment process in the Marketplace."
CCSQ ServiceNow AI Search,"CCSQ ServiceNow AI Search enhances the search capabilities within ServiceNow by replacing the traditional Zing search tool with a more versatile and relevant search function. It promotes self-service by allowing users to find information independently, potentially reducing the number of support cases. The AI Search includes features like result prioritization, synonym support, auto-corrections, and analytics to improve overall search experiences."
MSP Assignment Bot,"The MSP Assignment Bot automates the retrieval of records from a contractor's system and imports them into an internal OPOLE Access database for review by staff. This automation increases efficiency by allowing the bot to pull and assign cases from BCRC faster than human analysts, thereby maximizing the time available for staff to process cases and reducing response times. The Medicare Secondary Payer Operations Group (MSPOG) utilizes this bot for handling compromise cases within their Management Information System (MIS)."
"Relationships, Events, Contacts, and Outreach Network (RECON)","The Relationships, Events, Contacts, and Outreach Network (RECON) project utilizes AI for recommender systems and sentiment analysis, allowing for faster data analysis. Currently, it relies on native Salesforce AI capabilities, which are not being fully utilized within the RECON framework."
Complaint Analysis POC,"The Complaint Analysis POC utilizes data science techniques and a language model to analyze complaint data for the OPOLE team. This AI solution aims to identify key issues and root causes of complaints, enabling the team to address them more efficiently and effectively."
Data Lake/Load-Extract-Transform-Load (L-ETL),"CMS is modernizing its Load-Extract-Transform-Load (L-ETL) pipelines and data tools using a Security Data Lake, setting the foundation for future machine learning and AI applications. This initiative will enhance agency security by consolidating system, telemetry, and program data under a unified governance model, enabling better decision-making over time series data. The groundwork laid today is expected to facilitate machine learning model development in the next 1-2 years."
FOIA Document Review/Redaction Automation,"The FOIA Document Review/Redaction Automation project is a collaboration between OIT and OSORA aimed at streamlining the internal review and redaction process for CMS business documents subject to FOIA requests. By employing GenAI technology, the project automates the review and redaction tasks, significantly reducing the manual workload for FOIA staff."
Help Desk Responses,"The Division of Issuer Management and Operations is working with their contractor, LMI, to implement an AI tool for the Help Desk contract. This AI feature will streamline the process of generating responses to common questions from Qualified Health Plan (QHP) issuers and external entities, reducing the time staff contractors need for review and approval. The tool will leverage previously cleared material to enhance response efficiency."
508 Accessibility Automation for Documents,"The project focuses on automating the review and correction of 508 accessibility issues in documents for individual CMS employees. By leveraging GenAI technology, it significantly reduces the burden of ensuring compliance with 508 accessibility rules, streamlining the document correction process."
Brand vs Generic Market Share,"The project aims to analyze the market share trends between brand and generic drugs within the context of Medicare Part D to enhance financial forecasting accuracy. By examining the shift of beneficiaries from brand to generic medications, the Drug Data Processing System (DDPS) will provide insights to predict changes in related costs. Forecasting future market shares based on Part D claims volume will help optimize financial estimates."
Chat Client - Resource Library,"The Chat Client project aims to enhance user experience for the QPP community by refining the content in the Resource Library and improving accessibility to information through innovative technology. Utilizing Amazon Bedrock, the Chat Client will create a comprehensive knowledge base that enables efficient communication and multilingual support, allowing users to receive accurate responses to their inquiries based on available program documentation."
Chatbot within Hub,"The project aims to develop a chatbot within Hub to automate various help support activities currently managed by personnel, such as answering personalized FAQs, clarifying onboarding questions, and handling inquiries about file or request statuses. The chatbot will access an internal knowledge base, enable interaction with a live agent, and offer features like a chat and talk interface, along with the ability to query custom data sources. This initiative is designed to enhance support efficiency and improve communication with external partners."
Drug cost anomaly detection,"The Drug Cost Anomaly Detection project focuses on monitoring Prescription Drug Event (PDE) data to identify outliers and inaccuracies. It allows the CMS Division of Payment Reconciliation to correct these anomalies through outreach to Part D plans, ultimately preventing overpayments related to drug costs. The initiative enhances the integrity of Part D claims by highlighting and addressing discrepancies in drug pricing."
Drug Cost Increase Predictions,The Drug Data Processing System (DDPS) is developing a machine learning model to forecast changes in Medicare Part D costs by analyzing historical drug cost increases and current market conditions. This predictive system aims to enhance decision-making regarding drug pricing and budget forecasting for Medicare Part D.
Medicare Part C/D Marketing Material Review,"The project focuses on improving the review process of Medicare Part C/D marketing materials, which are currently time-consuming and resource-intensive for the Drug and Health Plan Operations (DHPO) staff. By integrating AI into the review process, the project aims to enhance efficiency and quality, while ensuring compliance with Medicare Marketing Guidelines and reducing marketing misrepresentation complaints. A proof of concept for the AI tool is still in development, with the goal of allowing the AI to learn the requirements for marketing materials effectively."
Medicare Part C/D Plan Oversight of AI Used for Prior Authorization and Utilization Management,"The project focuses on the oversight of AI applications used for prior authorization and utilization management within Medicare Part C and D plans to ensure beneficiary access to necessary services and prescriptions. It aims to leverage AI tools to analyze extensive datasets for compliance monitoring, program auditing, and protecting the integrity of the Medicare program. Additionally, it seeks to evaluate claims and payment data to identify potential biases and ensure compliance with CMS rules, ultimately safeguarding beneficiary health outcomes."
Negotiated Drug Predictions,"The project focuses on assisting in the negotiation of drug prices for select high-expenditure, single-source Medicare Part B or Part D drugs as authorized by the Inflation Reduction Act. It involves utilizing historical drug data to forecast costs and claim volumes for the drugs chosen for negotiation by the Secretary."
QPP Admin Bot,"The QPP Admin Bot enhances reporting and analysis by addressing the analytics needs in the QPP cycle, including providing feedback to providers and calculating scores. Utilizing Amazon Bedrock, it ensures easy access to data from QPP's Universal Data Set, empowering users to make informed decisions through a user-friendly communication platform."
Operational Efficiency Analytics ,"The Operational Efficiency Analytics project by OHI/MAG aims to enhance the appeals adjudication process for Marketplace consumers by utilizing predictive analytics. This involves identifying operational trends, forecasting the volume of appeals during open enrollment, and analyzing regional or demographic trends related to appeal complexity and outcomes. The project includes training a predictive model using data from a forthcoming data lake within the Eligibility Appeals Case Management System (EACMS)."
ICPG Governance Tool,"The ICPG Governance Tool automates the processing and analysis of acquisition plans, classifying them as IT-related or non-IT. By streamlining manual validation and classification steps, it reduces the time and effort required for these tasks. This project aims to enhance efficiency in the business process of acquisition plan analysis."
Innovation Center Investment Proposal (ICIP) Model Analysis POC,"The Innovation Center Investment Proposal (ICIP) Model Analysis Proof of Concept (POC) focuses on enhancing the process of analyzing ICIP documents. By utilizing a RAG-based architecture, the project aims to extract relevant insights and recommendations, which will be presented through a user-friendly natural language interface for easier access and interaction."
OAGM Rate Card,"The OAGM Rate Card project aims to analyze historical price trends for labor categories in business proposals to improve decision-making on future contracts. By providing a standardized view of historical price data, it will help normalize labor categories and enable the OAGM team to identify relevant labor categories despite naming variations."
CCSQ Now Assist for CSM ,"CCSQ Now Assist for CSM is a ServiceNow product that integrates generative AI with Customer Service Management to enhance agent productivity and efficiency. It uses a ServiceNow native Large Language Model to provide features such as case and chat summarization and auto-generated resolution notes, enabling agents to respond faster and resolve cases more effectively."
AI Workspace,"The AI Workspace project facilitates AI experimentation by offering a safe and secure environment that reduces barriers and supports strategic AI infrastructure. It provides teams with hands-on experience to understand the risks and benefits of AI, utilizing data science tools and approved AWS services like Sage Maker and Bedrock for prototype development."
Citation Analysis and Survey Assistant (CASA - Nursing Home Survey CMS 2567),"The Citation Analysis and Survey Assistant (CASA) enhances the monitoring and review of nursing home surveys in the U.S. by utilizing advanced natural language processing and machine learning to analyze deficiencies reported on CMS Form 2567. This system enables real-time interaction with survey data, allowing the Quality, Safety, and Oversight Group to identify discrepancies and follow up on citation cases, ultimately supporting CMS’s mission to maintain high standards of care in nursing homes."
Hazards & Threats Awareness Data Processing Automation,"The Hazards & Threats Awareness Data Processing Automation project aims to enhance the efficiency of situation report generation for EPRO by automating the processing of open web and email materials. The implementation of an AI system will reduce the manual processing time from 2-3 hours per day to approximately 30 minutes by scraping relevant websites, monitoring resource mailboxes, and summarizing significant events. This automation will facilitate faster delivery of actionable insights to decision-makers across the agency."
Independent Dispute Resolution (IDR) Eligibility Rules Engine,"The Independent Dispute Resolution (IDR) Eligibility Rules Engine project aims to automate the current manual and time-consuming IDR Technical Assistance process to enhance efficiency and throughput. By leveraging artificial intelligence, the tool will quickly identify essential data points within documentation, resulting in greater consistency in outcomes and a more predictable review timeline. This automation will streamline the eligibility review process and reduce reliance on manual operations."
Medicare Fee for Service Requirements Modernization (MFRM),"The Medicare Fee for Service Requirements Modernization (MFRM) project focuses on leveraging AI large language models (LLMs) to parse, curate, and simplify Medicare coverage and coding requirements by medical condition. Following extensive accuracy testing, the AI-generated information will be integrated into the MFRM application to improve operational efficiencies for CMS and healthcare providers by organizing guidance documents and identifying complexities. The project specifically utilizes Anthropic’s Claude 3.5 LLM to ensure the information is current and reliable."
Review Regulatory Comments,"The Division of Issuer Management and Operations is exploring the use of an AI tool by contractor AIR to analyze comments on the Letter to Issuers (LTI) and Notice of Benefits and Payment Parameters (NBPP). This implementation aims to streamline the review process, reducing the time and resources required by CCIIO and contracting staff by 25%, while also identifying trends in stakeholder responses related to CMS policy and operational issues."
Improved Data Quality Checks,"The project focuses on enhancing data quality checks to improve consumer experience by implementing an asynchronous feedback system that enables near real-time outreach, thereby reducing return cycle times without necessitating UI changes. Additionally, a proof-of-concept classifier model will be developed to identify incorrect document uploads and low-quality images using Optical Character Recognition (OCR) technology."
Plan Certification Recommendation Model,"The project aims to enhance the efficiency of the plan certification review process by employing natural language processing (NLP) and classification techniques to analyze trends in certification justification templates. A supervised machine learning model will be developed using historical data on justification and certification outcomes, providing recommendations to the Centers for Medicare & Medicaid Services (CMS) for improved review efficiency."
AI-Assisted Data Entry,The AI-Assisted Data Entry project aims to enhance the efficiency of data entry by utilizing AI technology to convert paper forms into digital datasets. This process reduces human error and streamlines the overall data intake workflow.
Transcription in Zoom and Teams,"The project focuses on providing transcription services for meetings held on Zoom and Teams, either live or from recorded sessions. This feature enhances communication by generating accurate transcribed text, facilitating better information accessibility and follow-up."
Email Prioritization in Outlook,The Email Prioritization project for Outlook in the Office365 suite enables users to categorize incoming emails according to their own criteria. This functionality assists users in managing their inbox more efficiently by providing categorized emails as the output.
AI-assisted Pattern Detection,The AI-assisted Pattern Detection project utilizes AI technologies to enhance existing log systems by identifying unusual patterns. This integration enables the detection of system log issues and facilitates the generation of alerts and reports for human intervention.
Report Summarization by commercial GenAI platform,Commercial GenAI platforms like ChatGPT and Google Gemini are capable of summarizing non-sensitive documents. They produce concise summaries based on the content of the provided paragraphs or documents.
Information Search from Google,Google's search engine utilizes AI-assisted techniques to efficiently process search queries. The result is a collection of relevant search results tailored to the user's request.
Document Digitization by AdobePro,"Adobe Pro specializes in converting scanned documents into digital formats, enabling enhanced accessibility and functionality. The resulting digital data is searchable, allowing for efficient information retrieval."
Autocorrect in MS Word,MS Word's autocorrect feature employs AI to enhance written communications by suggesting corrections. This results in improved accuracy and clarity in documents.
AI-Assisted Real-time Collaboration,"The AI-assisted real-time collaboration tool utilizes natural language processing to analyze inputs from team members and deliver real-time statistics and feedback. It generates summaries and statistical data based on the contributions of multiple users, enhancing collaborative efforts."
Presentation Design by MS PowerPoint,"The project focuses on enhancing presentation design using MS PowerPoint, which offers improved design suggestions tailored to the content. Users receive multiple visual design options to choose from, allowing for more engaging presentations."
Data modeling and visualization by MS Excel,"The project focuses on utilizing MS Excel's data analysis toolkits for data modeling and visualization. It leverages AI-powered features to enhance data understanding and presentation, ultimately producing machine learning models and statistical analyses along with visual representations of the data."
News from commercial publisher such as Google News,"Major news publishers like Google News curate news content tailored to users' preferences and browsing history. This results in more personalized news feeds for each user, enhancing their news consumption experience."
Travel Route Optimization by Google Maps and Apple Maps,"This project focuses on the optimization of travel routes using major commercial map services like Google Maps and Apple Maps. By leveraging algorithms and live traffic data, these services automate route selection to save time and provide optimal travel paths tailored to user preferences. The result is a more efficient and user-friendly navigation experience."
AI-Powered Travel Booking,"The AI-Powered Travel Booking project utilizes algorithms to enhance major travel booking platforms by providing personalized accommodation options based on customer preferences. This technology optimizes the selection process, saving time and offering better deals. Ultimately, it generates a curated list of travel accommodations for customers to choose from when making their booking decisions."
Facial Recognition Unlock,The Face ID feature in iPhones utilizes AI technology to securely unlock the device through facial recognition. This advanced security measure enhances user convenience by allowing access to the phone without requiring passwords or other authentication methods.
AI to Improve Public Access to the Administrative Appeals Process,"The project aims to implement an AI-driven chatbot on the DAB's website to enhance public access to the administrative appeals process by helping appellants identify the appropriate division for their appeals. This chatbot will provide immediate assistance and accurate information, particularly benefiting deaf and hard-of-hearing individuals and those with limited English proficiency. Ultimately, the initiative seeks to improve efficiency in adjudication, increase the DAB's productivity, and optimize resource allocation."
AI Use Policy Tool,The AI Use Policy Tool aims to enhance the integrity and efficiency of the Determinations and Appeals Board (DAB) by ensuring compliance with quality review standards and protecting sensitive information. It will facilitate quicker identification of data trends requiring further analysis while preventing the unauthorized use of generative AI in DAB decisions. This tool supports public confidence in the fairness and legality of DAB determinations.
Resources to Assist the Advisory Board In Identifying AI Tools for Use In An Adjudication Environment,"The project aims to support the Advisory Board in selecting AI tools suitable for the adjudication process, which involves comprehensive data analysis during docket management, case processing, decision issuance, and post-adjudication quality review. By leveraging AI and machine learning technologies, the Advisory Board intends to enhance efficiency and identify trends within the large volumes of data received from appellants and interested parties. Ultimately, this initiative seeks to improve the overall effectiveness of the adjudication environment."
356H ML Facility Supply Chain Role Classification,"The 356H ML Facility Supply Chain Role Classification project automates the extraction of supply chain roles from unstructured text submissions related to facilities. By improving the efficiency of evaluating these submissions, it reduces processing time and provides data stewards with a streamlined interface for verifying and determining the identified roles."
AI Tool for Risk-based FAR Review & Decision Support,"The AI Tool for Risk-based FAR Review & Decision Support enhances the Field Alert Report review process by delivering risk-based intelligence and insights, incorporating a Human-in-the-Loop approach. It streamlines reviews by summarizing risk profiles and utilizing machine learning to classify FAR risks into low, medium, and high categories, while highlighting problem clusters, rare events, and source variables."
Analytics-Driven Supplement Evaluation (ASE),"The Analytics-Driven Supplement Evaluation (ASE) project utilizes AI to enhance the triage and staff assignment process for reviewing post-market Change Being Effected (CBE) supplement submissions. By employing a Convolutional Neural Network alongside a rules-based approach, the AI system effectively summarizes submitted information to assist reviewers in making informed decisions on CBE 30/0 supplemental submissions."
Augmenting death and cause of death ascertainment in observational data sources,"The project aims to enhance the assessment of mortality in electronic health records by employing Natural Language Processing (NLP) techniques to extract and improve the quality of mortality data, including the date and cause of death. This augmentation supports research efforts within the Sentinel system to develop probabilistic estimates for causes of death, thereby enhancing the reliability of mortality as a study endpoint."
CLAT (Computerized Labeling Assessment Tool) ,"CLAT (Computerized Labeling Assessment Tool) employs computer programming, image processing, and AI to enhance the human review process of drug labeling by identifying potential deviations from FDA regulations and standards. The tool improves the efficiency and accuracy of labeling reviews by flagging errors such as missing barcodes and incorrect strength statements, ultimately helping to mitigate medication errors and standardize labeling practices. By facilitating a thorough visual comparison against established guidelines, CLAT supports reviewers in ensuring compliance and consistency across various drug types."
Empirical evaluation of EHR-based signal detection approaches,"The project focuses on enhancing Electronic Health Record (EHR) signal detection through Natural Language Processing (NLP) and advanced tree-based scan statistic (TBSS) methods. By extracting data from unstructured clinical notes, it aims to improve the identification of health outcomes and streamline the manual detection process."
FAR-based Facility Signal Detection Tool ,"The FAR-based Facility Signal Detection Tool objectively identifies problem clusters associated with flagged signals. This tool aids in the triage and review process, enabling further actions to be taken and, if necessary, opening up CMS inspection work activities."
MedWatch Dashboard ,"The MedWatch Dashboard project aims to enhance the monitoring and identification of product risks through the analysis of MedWatch reporting patterns. It utilizes time series analysis to flag potential product risks and topic modeling to summarize relevant comments, facilitating efficient and objective risk-based assessments for review staff."
Quality Surveillance Dashboard (QSD),"The Quality Surveillance Dashboard (QSD) analyzes unstructured text from documents and integrates it with existing data to create a comprehensive dashboard for assessing CDER regulated manufacturing facilities. It facilitates efficient, objective, and risk-based evaluations by identifying and presenting relevant keywords and phrases in context."
Scalable automated NLP-assisted chart abstraction and feature extraction tool,"This project focuses on developing a scalable automated tool for chart abstraction and feature extraction using natural language processing (NLP) to enhance the usability of electronic medical records in pharmacoepidemiology studies. Through a case study examining montelukast use among asthma patients and associated neuropsychiatric events, the project aims to implement a comprehensive approach for accurately identifying outcomes and covariates from unstructured EHR data. The tool will facilitate large-scale data analysis by leveraging advanced analytic methods to extract relevant health information efficiently."
Annual Report CMC,"The project aims to extract Chemistry, Manufacturing, and Controls (CMC) changes from unstructured annual report submissions to create a comprehensive repository for further analysis. The extracted data is visualized in a dashboard, facilitating downstream human analysis and supporting information extraction from unstructured documents."
Application-DMF Reference,"The project focuses on extracting references to Drug Master Files (DMFs) from marketing application submissions, both structured and unstructured. It involves parsing content from various forms such as the 356H form and eCTD modules to identify and present DMF references in a structured format for analysis. The extracted data, displayed on a dashboard, aims to create a comprehensive inventory of application to DMF references, assisting the Office of Pharmaceutical Quality (OPQ) in reviewing applications that previously lacked these references."
Artificial Intelligence-based Deduplication Algorithm for Classification of Duplicate Reports in the FDA Adverse Event Reports (FAERS) ,"The project develops an Artificial Intelligence-based deduplication algorithm to identify and eliminate duplicate reports in the FDA Adverse Event Reporting System (FAERS). It employs Natural Language Processing (NLP) to analyze unstructured data from case safety report narratives, extracting relevant clinical features for use in a probabilistic record linkage approach. This enhances the efficiency of processing the FAERS database and supports data mining analytics."
Development of automation tools and data warehouse to facilitate BE assessments,"The project focuses on developing automation tools and a data warehouse to streamline the bioequivalence assessment process for Abbreviated New Drug Application (ANDA) submissions. By reducing manual data entry efforts, the tools will prepare, format, and export pharmacokinetic data for analysis, enabling reviewers to efficiently conduct evaluations using pre-written SAS codes while generating draft documents alongside firm-submitted eCTD tables. This initiative aims to enhance data collection and information retrieval without impacting the reviewer's evaluative responsibilities."
DMF (Drug Master File) Facilites,"The DMF Facilities project focuses on extracting facility references and supply chain roles from Type II Drug Master File submissions, which may contain both structured and unstructured documents. The parsed data is organized into a structured format for analysis, helping OPQ identify discrepancies between facilities reported in marketing applications and those disclosed in DMFs. The end goal is to create a comprehensive inventory of facilities linked to DMF submissions and their corresponding applications, supported by a user-friendly dashboard for further analysis."
Four Part Harmony Identification,"The Four Part Harmony Identification project aims to enhance the accuracy of language in deficiency reports submitted by staff. By streamlining this process, the project will decrease verification time and alleviate staff workload, ensuring compliance with MDUFA requirements."
Information Visualization Platform (InfoViP) to Support Analysis of adverse event reports,"The Information Visualization Platform (InfoViP) enhances post-market surveillance by utilizing AI to prioritize and analyze adverse event reports. It employs Natural Language Processing (NLP) and Machine Learning (ML) algorithms to extract relevant data from unstructured narratives and integrate it with structured data, thereby improving the efficiency of preparing and analyzing such reports. This tool also facilitates case series analyses, data visualization, and classifications based on information quality."
LLM-Assisted VAERS Analyses,The project aims to enhance the efficiency of Vaccine Adverse Events Reporting System (VAERS) analyses by utilizing a large language model (LLM) to generate customized query outputs. It focuses on building the capacity to enable reviewers to perform ad-hoc VAERS queries effectively.
Pharmacovigilance machine learning to detect excess safety signal,"The project utilizes machine learning algorithms to enhance pharmacovigilance by detecting excess safety signals in post-market adverse event reporting. The technology aids the FDA in identifying rare adverse events that manual reviews might overlook, generating potential safety signals for further investigation through statistical analysis."
Module 3 Facilties,"The objective of Module 3 Facilities was to identify and extract information about drug manufacturing facilities from unstructured data in marketing application submissions. This process aimed to create a comprehensive inventory of drug facilities, with the extracted data visualized in a dashboard for further human analysis. The project facilitates information extraction from unstructured documents."
OPPQ Policy Bot (AKA Policy and Guidance Documents Search) ,"The OPPQ Policy Bot is an AI-enabled tool designed to assist policy staff in efficiently searching for and identifying relevant regulations and policy documents. It enables users to quickly access previously published materials, ensuring consistency in policy development and responses to inquiries by providing direct links to the documents for further human review."
Packaging Materials and Suppliers,"The project focuses on extracting data from unstructured sources to create an inventory of drug packaging materials and their suppliers, aiding staff in drug supply chain analysis. The gathered information will be displayed on a dashboard for further analysis. This initiative enhances the efficiency of information extraction from unstructured documents."
Process Large Amount of Submitted Docket Comments,"The project involves the development of an AI/ML tool within CBER/HIVE that streamlines the downloading and processing of large volumes of docket comments, thereby enhancing the efficiency and accuracy of regulatory reviews. Additionally, it generates customized outputs for VAERS queries to facilitate the work of reviewers."
Real World Data/Evidence ,"The project involves identifying unstructured submissions in the industry that contain Real World Data/Evidence (RWD/E) by analyzing parsed content for indicators of RWD/E. The extracted data is then visualized in a dashboard to facilitate human analysis, with a focus on tagging documents that contain relevant evidence and data. This process supports congressional reporting efforts."
Regulatory Starting Material ,The project involves extracting Regulatory Starting Materials (RSMs) and their suppliers from unstructured Module 3 industry submissions to develop an inventory that clarifies the upstream supply chain. The extracted data is then visualized in a dashboard for further downstream analysis. This initiative aids in the effective information extraction from unstructured documents.
Resource Capacity Planning,"The Resource Capacity Planning project aims to enhance the forecasting of expected workloads in the human drug review program to better align fee revenue with required resources. It analyzes submissions across major user fee programs to support fee-setting processes, ensuring adequate funding to efficiently manage the anticipated workload. This improvement will help the FDA effectively allocate resources needed for drug review activities."
Supply Chain Resilience Program,"The Supply Chain Resilience Program focuses on forecasting the demand for medical devices and supplies under various scenarios, such as natural disasters and public health emergencies. This initiative aids in preparing for critical device requirements by providing accurate demand predictions."
AI Audit Resolution Assistant,"The AI Audit Resolution Assistant (AIARA) aims to expedite the review and resolution of Single audits for HRSA, which have surged due to COVID-related funding. By leveraging generative AI and advanced technological capabilities, the project seeks to enhance the efficiency of auditors, increase the number of audits processed, and automate the creation of Management Decision Letters. The solution includes a vector database for audit documents and a chatbot to assist auditors with specific inquiries, ultimately reducing their cognitive workload."
Knowledge Navigator,"The Knowledge Navigator project aims to create an AI model that provides detailed answers to complex inquiries regarding the Application and Program Guidance (APG) documents for 10 loan repayment and scholarship programs. This initiative is designed to enhance the efficiency of loan repayment and scholarship analysts and call center agents by improving their ability to respond to public inquiries, potentially reducing call volume and the need for additional call center staff. A proof of concept Generative AI Large Language Model has already been implemented to support National Health Service Corps (NHSC) and Nurse Corps programs."
Policy Assistant,"The Policy Assistant (PA) is a Generative AI tool developed by HRSA to efficiently create first drafts of essential policy documents such as APGs, NOFOs, and budget documents. By utilizing large language models and advanced editing features, PA aims to streamline the drafting process, reduce time spent on document creation, and enhance the quality of the final outputs through critical analysis and refinement. The project incorporates cloud-based services and natural language generation technologies to improve the overall policy-making workflow."
Scholar Match,"Scholar Match (SM) is an AI-driven platform designed to streamline the candidate evaluation and placement process for NHSC and Nurse Corps scholars in underserved communities. By analyzing candidate profiles and regional health care needs, SM optimizes placements to enhance workforce distribution and candidate satisfaction. The project utilizes machine learning, recommendation systems, cloud-based platforms, and data analytics to achieve its goals."
Scholarship Insight,"Scholarship Insight is a project aimed at enhancing the evaluation process of scholarship essays for the NHSC and Nurse Corps programs by developing a Generative AI program to assist human reviewers. This AI will analyze previous essays and scoring rubrics to conduct an initial assessment, improving both fairness and efficiency in the application process. The system will provide detailed insights into essay strengths and weaknesses while ensuring that human graders adhere to appropriate scoring standards through a combination of advanced technologies."
Site Application Analysis,"The Site Application Analysis (SA) project aims to enhance the review process for NHSC, STAR, and Nurse Corps Site Applications by integrating AI and machine learning technologies. This initiative will streamline the evaluation of complex documents, enabling faster and more accurate reviews while freeing BHW Regional Analysts to concentrate on more strategic tasks. The implementation will utilize cloud-based services, recommendation systems, natural language understanding, and text analysis."
A Cluster-Based Machine Learning Approach for Evaluating Factors Associated with Plasma Neurodegenerative Biomarkers,"The project aimed to enhance the prediction of incident dementia by incorporating health-related risk factors alongside plasma biomarkers associated with neurodegeneration and inflammation. Utilizing data from the Age, Gene/Environment Susceptibility – Reykjavik Study, which spanned over 20 years and included around 450 health-related risk factors, the study sought to improve outcomes in a diverse population. However, this AI use case has been retired and is no longer in use."
AccessGUDID Data Validation,"The AccessGUDID Data Validation project utilizes an AI system designed to enhance data quality assurance for medical device metrics by detecting anomalies in both structured and unstructured data. By identifying issues such as inconsistent units of measurement and unusual device dimensions, the AI flags potential problems for human review without directly altering the data. This integration within the FDA's workflow aims to streamline the data validation process, reduce manual effort, and improve the integrity of the AccessGUDID database, ultimately fostering better decision-making and enhancing public health and safety regarding medical devices."
AI Solution for Image Duplication Detection,"The project focuses on developing an AI solution for detecting image duplications in microscopic images generated by NIA researchers. With each publication producing 100 to 200 TIFF files, the manual verification process currently in use is inefficient and error-prone, necessitating an automated system to enhance research quality and credibility. This AI solution aims to streamline the identification of duplicate images across multiple publications."
AI Solution for Research Funding Gap Analysis (RF-GAP),"The AI Solution for Research Funding Gap Analysis (RF-GAP) aims to identify and address funding and publication gaps in NIH-funded research by utilizing text-mining and AI techniques on data from various sources. This initiative will enable NIA leadership to make informed decisions and refine funding strategies, while program officers will leverage customized dashboards for efficient monitoring and management of research portfolios. Ultimately, the project seeks to improve the allocation of NIH funding, enhance data integration for a comprehensive view of research trends, and maximize operational efficiency across NIA."
